Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
. to travel over the front ah arm of the lake there,the front ah arm of the lake,OF,the lake,Def,n,Inanim,the front arm,n,Inanim
. paid the his mate's fare across to New Zealand,his mate's fare,S,his mate,Def,n,Anim,fare,n,Inanim
. and then they came on . prospecting trying to follow the river to find the lead of the gold,the lead of the gold,OF,the gold,Def,n,Inanim,the lead,n,Inanim
. an' the remains of two old huts,the remains of two old huts,OF,two old huts,Indef,n,Inanim,the remains,n,Inanim
. the main street of Arrow was littered you had to w,. the main street of Arrow,OF,Arrow,Def-pn,n,Inanim,the main street,n,Inanim
. and unfortunately they mined into the side of the hill and cut the,the side of the hill,OF,the hill,Def,n,Inanim,the side,n,Inanim
<mm hmm> it was they that . tore up all the surface of the ground it used to be just a narrow stream in the early days,the surface of the ground,OF,the ground,Def,n,Inanim,the surface,n,Inanim
<mm hmm> with cutty grass right to the edge of the water,the edge of the water,OF,the water,Def,n,Inanim,the edge,n,Inanim
<yes> Pincher was the name of the man . that worked this claim,the name of the man . that worked this claim,OF,the man that worked this claim,Def,n,Anim,the name,n,Inanim
<mm hmm> the ah one week they got it the next week they went right off it it must have been left in the ah moraine of the early glacier,the ah moraine of the early glacier,OF,the early glacier,Def,n,Inanim,the moraine,n,Inanim
<yeah . yeah> I can't . I don't think I heard the names of the other men,the names of the other men,OF,the other men,Def,n,Anim,the names,n,Inanim
. the makings of the frock and the shoes to go in,. the makings of the frock,OF,the frock,Def,n,Inanim,the makings,n,Inanim
. because she was why she got over on the wrong side of the,the wrong side of the  . law,OF,the law,Def,n,Inanim,the wrong side,n,Inanim
<yes> and the other one's name was Oliver,the other one's name,S,the other one,Def,n,Anim,name,n,Inanim
<yes> and they built their huts quite close to each other at the end of Butcher's Gully,the end of Butcher's Gully,OF,Butcher's Gully,Def-pn,n,Inanim,the end,n,Inanim
. he found enough gold in the crop of the duck for to pay for the duck,the crop of the duck,OF,the duck,Def,n,Anim,the crop,n,Inanim
. just down the bottom of the hill from us,the bottom of the hill,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
. and on Mr Dudley's property now there's an old Chinese store run by the same Ah Li,Mr Dudley's property,S,Mr Dudley,Def-pn,n,Anim,property,n,Inanim
. and in the uncertain light she went over the bank and fell two hundred feet down the side of the hill,the side of the hill,OF,the hill,Def,n,Inanim,the side,n,Inanim
. this old man's name was Pat D Desmond,. this old man's name,S,this old man,Def,n,Anim,name,n,Inanim
oh I just but the years have rolled back fifty years to the days of my early girlhood to a bush clad,the days of my early girlhood,OF,my early girlhood,Def,n,Inanim,the days,n,Inanim
 - I've got the whole thing from the coming of Reeves,the coming of Reeves,OF,Reeves,Def-pn,n,Anim,the coming,n,Inanim
and down to the flat and when he reached there there were thousands o it looked to be thousands of tents all along the banks of the river,the banks of the river,OF,the river,Def,n,Inanim,the banks,n,Inanim
well he had ah that was the beginning of the flax milling,the beginning of the flax milling,OF,the flax milling,Def,n,Inanim,the beginning,n,Inanim
<yes> he was a cook in the ah Job's Hotel,the ah Job's Hotel,S,the Job,Def,n,Anim,Hotel,n,Inanim
<mm hmm> and ah . I . even when they printed my son's medal,my son's medal,S,my son,Def,n,Anim,medal,n,Inanim
would starting up the river beyond Mrs Annan's side . would be Whittaker .,Mrs Annan's side .,S,Mrs Annan,Def-pn,n,Anim,side,n,Inanim
but at the end of that time the Frankton Hospital was established,the end of that time,OF,that time,Def,n,Inanim,the end,n,Inanim
and um my father farmed that land till the time of his death um my mother carried it on until she died,the time of his death,OF,his death,Def,n,Inanim,the time,n,Inanim
umm the head of the lake,the head of the lake,OF,the lake,Def,n,Inanim,the head,n,Inanim
and uh you know the face of the the face of the blizzard <mm hmm>,the face of the the face of the blizzard,OF,the blizzard,Def,n,Inanim,the face,n,Inanim
but I can remember as a very small child before the days of reaper and binders .,the days of reaper and binders .,OF,reaper and binders,Def,n,Inanim,the days,n,Inanim
and he arrived in the district and uh uh struck my father's place . in the middle of harvest,my father's place .,S,my father,Def,n,Anim,place,n,Inanim
and he arrived in the district and uh uh struck my father's place . in the middle of harvest,the middle of harvest,OF,harvest,Indef,n,Inanim,the middle,n,Inanim
B: yes I can tell uh I've got a very vivid recollection of the price of wheat .,the price of wheat .,OF,wheat,Indef,n,Inanim,the price,n,Inanim
B: oh just a celebration that the uh the principal work of the season was finished <yes>,the principal work of the season,OF,the season,Def,n,Inanim,the principal work,n,Inanim
they carried logs of timber for miles they carried huge stones and built walls right down the f full length of the Arrow River .,the f full length of the Arrow River .,OF,the Arrow River,Def,n,Inanim,the full length,n,Inanim
the terraces were sluiced away it built the bed of the river up and uhh all the old miners work was completely buried .  and,the bed of the river,OF,the river,Def,n,Inanim,the bed,n,Inanim
I think that was really the start of Skippers Ltd they bought Smith out .,the start of Skippers Ltd,OF,Skippers Ltd,Def-pn,n,Inanim,the start,n,Inanim
and uh instead of uh mining in the bed of the river he got on to the hillside .,the bed of the river,OF,the river,Def,n,Inanim,the bed,n,Inanim
he started the first blue gum plantation in the district at the foot of Lake Hayes .,the foot of Lake Hayes .,OF,Lake Hayes,Def-pn,n,Inanim,the foot,n,Inanim
and also another one uh at the foot of Bairds Hill as you go over towards Cromwell .,the foot of Bairds Hill,OF,Bairds Hill,Def-pn,n,Inanim,the foot,n,Inanim
so the last race of the day was a trot and my father had his horse in it .,the last race of the day,OF,the day,Def,n,Inanim,the last race,n,Inanim
from the to~top of the Tokotea down to French's store .,the to~top of the Tokotea,OF,the Tokotea,Def,n,Inanim,the top,n,Inanim
from the to~top of the Tokotea down to French's store .,French's store .,S,French,Def-pn,n,Anim,store,n,Inanim
top of the Tokotea and grocer's shop .,the .  top of the Tokotea,OF,the Tokotea,Def,n,Inanim,the top,n,Inanim
top of the Tokotea and grocer's shop .,grocer's shop .,S,grocer,Indef,n,Anim,shop,n,Inanim
two grocer's shops -,two grocer's shops -,S,two grocer,Indef,n,Anim,shops,n,Inanim
a butcher's shop and a post office .,a butcher's shop,S,a butcher,Indef,n,Anim,shop,n,Inanim
 - and then on the when the Castle's process came out I went working on that .,the Castle's process,S,the Castle,Def,n,Inanim,process,n,Inanim
you have what we call a granny well it's very much like a Salvation Army woman's bonnet -,woman's bonnet -,S,woman,Def,n,Anim,bonnet,n,Inanim
and ahh . I used to be carried up and down on ahh on me Dad's back .,me Dad's back .,S,me Dad,Def,n,Anim,back,n,Inanim
and then there was a tram line come from the top of the Tokotea .,the top of the Tokotea .,OF,the Tokotea,Def,n,Inanim,the top,n,Inanim
right away down to French's Store .,French's Store .,S,French,Def-pn,n,Anim,Store,n,Inanim
at the foot of the Tokotea -,the foot of the Tokotea -,OF,the Tokotea,Def,n,Inanim,the foot,n,Inanim
the stuff would all go right up to the top of the Tokotea,the top of the Tokotea,OF,the Tokotea,Def,n,Inanim,the top,n,Inanim
well when it got up on the top of the Tokotea .,the top of the Tokotea .,OF,the Tokotea,Def,n,Inanim,the top,n,Inanim
 -- that was the end of the station because .,the end of the station,OF,the station,Def,n,Inanim,the end,n,Inanim
start down at the bottom of a gully .,the bottom of a gully .,OF,a gully,Indef,n,Inanim,the bottom,n,Inanim
and ahh they're the feeders of the reefs .,the feeders of the reefs .,OF,the reefs,Def,n,Inanim,the feeders,n,Inanim
into the next man's area,the next man's area,S,the next man,Def,n,Anim,area,n,Inanim
no no I never got a p~ a copper's worth out of any of them .,a copper's worth,S,a copper,Indef,n,Inanim,worth,n,Inanim
promoters of the . Waihi .,the f~ ahh .  promoters of the . Waihi .,OF,the Waihi,Def,n,Inanim,the promoters,n,Anim
this was a got more into the heart of the stone .,the heart of the stone .,OF,the stone,Def,n,Inanim,the heart,n,Inanim
he was ahh one that discovered that flat those flat heads that they call them Main's head .,Main's head .,S,Main,Def-pn,n,Inanim,head,n,Inanim
. forget the names of the cats but anyhow .,the names of the cats,OF,the cats,Def,n,Anim,the names,n,Inanim
 - I can't think of the names of the other two .,the names of the other two .,OF,the other two,Def,n,Anim,the names,n,Inanim
Mullingar's money was just about done and .,Mullingar's money,S,Mullingar,Def-pn,n,Anim,money,n,Inanim
. electorate ahh . touring round to see the wants of the people .,the wants of the people .,OF,the people,Def,n,Anim,the wants,n,Inanim
. without the beauty of a Cornish village .,the beauty of a Cornish village .,OF,a Cornish village,Indef,n,Inanim,the beauty,n,Inanim
and the north side the ahh east side of Thames street,the ahh east side of Thames street,OF,Thames street,Def-pn,n,Inanim,the east side,n,Inanim
and this particular bush-ranger spat in Sergeant Bullen's eye .,Sergeant Bullen's eye .,S,Sergeant Bullen,Def-pn,n,Anim,eye,n,Inanim
Queen Victoria's birthday,Queen Victoria's birthday,S,Queen Victoria,Def-pn,n,Anim,birthday,n,Inanim
but he was the ahh owner of the Otekaieke station at one time,the ahh owner of the Otekaieke station,OF,the Otekaieke station,Def,n,Inanim,the owner,n,Anim
advent of the um the railway makers when ahh .,the um .  advent of the um the railway,OF,the railway,Def,n,Inanim,the advent,n,Inanim
ahh Sir Julius Vogel's scheme came into operation,Sir Julius Vogel's scheme,S,Sir Julius Vogel,Def-pn,n,Anim,scheme,n,Inanim
me going out with my people to the opening of the line from Oamaru to Waitaki .,the opening of the line from Oamaru to Waitaki .,OF,the line from Oamaru to Waitaki,Def,n,Inanim,the opening,n,Inanim
and they were stowed under the south end of the Waitaki bridge .,the south end of the Waitaki bridge .,OF,the Waitaki bridge,Def,n,Inanim,the south end,n,Inanim
because on Sutherland the hermit of Milford Sound was ahh a little bit of a .,the hermit of Milford Sound,OF,Milford Sound,Def-pn,n,Inanim,the hermit,n,Anim
ahh they used to fix an airlock on the top of the cylinder .,the top of the cylinder .,OF,the cylinder,Def,n,Inanim,the top,n,Inanim
one experience I remember also um . ahh the opening of the line to ahh Duntroon .,the opening of the line to ahh Duntroon .,OF,the line to Duntroon,Def,n,Inanim,the opening,n,Inanim
ahh that an invitation should be sent to the members of the clan Grant  who,the members of the clan Grant,OF,the clan Grant,Def,n,Inanim,the members,n,Anim
and ahh you could see that ahh the members of the clan Grant were not at all pleased at having as a a with them .,the members of the clan Grant,OF,the clan Grant,Def,n,Inanim,the members,n,Anim
that my father looked after he was honorary curator of the museum in the old court house .,honorary curator of the museum in the old court house .,OF,the museum in the old court house,Def,n,Inanim,honorary curator,n,Anim
the Jubilee of Queen Victoria,the Jubilee of Queen Victoria,OF,Queen Victoria,Def-pn,n,Anim,the Jubilee,n,Inanim
I got up just at oh just on the other side of the river out of the river .,the other side of the river,OF,the river,Def,n,Inanim,the other side,n,Inanim
stone and everything on and .  away he'd go again and I thought when he got to the foot of the hill what he'd take the stone off now .,the foot of the hill,OF,the hill,Def,n,Inanim,the foot,n,Inanim
they'd all go to the foot of the hill and look here they'd just stop .,the foot of the hill,OF,the hill,Def,n,Inanim,the foot,n,Inanim
they just walked up to the top of the hill .   but,the top of the hill .,OF,the hill,Def,n,Inanim,the top,n,Inanim
that Kitchener's bridge you know the,Kitchener's bridge,S,Kitchener,Def-pn,n,Anim,bridge,n,Inanim
oh Hughie Craig of Cobb and Co.,Hughie Craig of Cobb and Co.,OF,Cobb and Co,Def-pn,n,Inanim,Hughie Craig,n,Anim
oh well it was one went through from that the top of the Deepdell Jim,the top of the Deepdell,OF,the Deepdell,Def,n,Inanim,the top,n,Inanim
you know the paper that's in the lid of the biscuit tin he .,the lid of the biscuit tin,OF,the biscuit tin,Def,n,Inanim,the lid,n,Inanim
oh God's truth there was mud up to there .,God's truth,S,God,Def-pn,n,Anim,truth,n,Inanim
and go up to the head of the . sluice box you know the old Chinaman'd go up there and he'd pop these in .,the head of the . sluice box,OF,the sluice box,Def,n,Inanim,the head,n,Inanim
well I think . I would like to speak of the education . of Central Otago .,the education . of Central Otago .,OF,Central Otago,Def-pn,n,Inanim,the education,n,Inanim
was that er . Mr Hickson the sto the er inspector of police's son?,the er inspector of police's son?,S,the inspector of police,Def,n,Anim,son,n,Anim
yeah there was er down at Ernscleugh . on the top end of Ernscleugh was cut out .,the top end of Ernscleugh,OF,Ernscleugh,Def-pn,n,Inanim,the top end,n,Inanim
the scarcity of trees in the district . that er caused them to do that .,the scarcity of trees,OF,trees,Indef,n,Inanim,the scarcity,n,Inanim
of they'd have to have been there since the time of the robbery,the time of the robbery,OF,the robbery,Def,n,Inanim,the time,n,Inanim
on the first trip of the Robert Henderson .,the first trip of the Robert Henderson .,OF,the Robert Henderson,Def,n,Inanim,the first trip,n,Inanim
Mrs Chapman's services . as a nurse .,Mrs Chapman's services .,S,Mrs Chapman,Def-pn,n,Anim,services,n,Inanim
and she armed him down to the back of the Commercial . buildings .,the back of the Commercial . buildings .,OF,the Commercial buildings,Def,n,Inanim,the back,n,Inanim
were very well known here they actually arrived in Alexandra on the twenty seventh of August eighteen sixty two .,the twenty seventh of August,OF,August,Def-pn,n,Inanim,the twenty seventh,n,Inanim
and he was the proprietor of several different hotels here .,the proprietor of several different hotels here .,OF,several different hotels here,Indef,n,Inanim,the proprietor,n,Anim
and then Mr Holt of Clyde .,Mr Holt of Clyde .,OF,Clyde,Def-pn,n,Inanim,Mr Holt,n,Anim
my grandmother say that they spent several days in coming the last stop was at Baldwin's station .,Baldwin's station .,S,Baldwin,Def-pn,n,Anim,station,n,Inanim
the eh it was the time of the er Kelly bushrangers . and .,the time of the er Kelly bushrangers .,OF,the Kelly bushrangers,Def,n,Inanim,the time,n,Inanim
a matter of . everybody sharing . everybody else's possessions .,everybody else's possessions .,S,everybody else,Def,n,Anim,possessions,n,Inanim
and to this . to the day of her death . she always maintained that that was Levi .,the day of her death .,OF,her death,Def,n,Inanim,the day,n,Inanim
of the bushrangers . and that man spent the night with them .,Levi .  of the bushrangers .,OF,the bushrangers,Def,n,Inanim,Levi,n,Anim
of Alexandra . it was on the other side of the Manuherikia River .,the present site .  of Alexandra .,OF,Alexandra,Def-pn,n,Inanim,the present site,n,Inanim
of Alexandra . it was on the other side of the Manuherikia River .,the other side of the Manuherikia River .,OF,the Manuherikia River,Def,n,Inanim,the other side,n,Inanim
opposite side of the bank to the town from here at back over the other side of the Manuherikia,the other side of the Manuherikia,OF,the Manuherikia,Def,n,Inanim,the other side,n,Inanim
as the river ran on the other side in the t~ days of ahh -,the t~ days of ahh -  MacKearsies,OF,MacKearsies,Def-pn,n,Anim,the days,n,Inanim
just prior to my mother's death she used to get letters .,my mother's death,S,my mother,Def,n,Anim,death,n,Inanim
from out at Matakanui's .,Mr Duggin .  from out at Matakanui's .  father,S,Mr Duggin from out at Matakanui,Def-pn,n,Anim,father,n,Anim
my earliest recollections is of the big flood of seventy of 78,the big flood of seventy of 78,OF,78,Indef,n,Inanim,the big flood,n,Inanim
these are Mrs Scott's memoirs I might say I don't want them put in as mine .,Mrs Scott's memoirs,S,Mrs Scott,Def-pn,n,Anim,memoirs,n,Inanim
the back street by River's old stable . near where Mr Proben now lives .,River's old stable .,S,River,Def-pn,n,Anim,old stable,n,Inanim
and watching the turmoil of water with its varied assortment of flotsam and jetsam -,the turmoil of water,OF,water,Indef,n,Inanim,the turmoil,n,Inanim
did vote so much money towards the assistance of the building .,the assistance of the building .  of a stone building which was down at the back . of one of the hotels .,OF,the building of a stone building which was down at the back of one of the hotels,Def,n,Inanim,the assistance,n,Inanim
of a stone building which was down at the back . of one of the hotels .,the building .  of a stone building which was down at the back . of one of the hotels .,OF,a stone building which was down at the back of one of the hotels,Indef,n,Inanim,the building,n,Inanim
of a stone building which was down at the back . of one of the hotels .,the back . of one of the hotels .,OF,one of the hotels,Def,n,Inanim,the back,n,Inanim
but . I can't tell you the names of the teachers but they also went to a night school . those children who were not able .,the names of the teachers,OF,the teachers,Def,n,Anim,the names,n,Inanim
grandmother was the mother of a very large family she had sixteen children I think there were sixteen children .,the mother of a very large family,OF,a very large family,Indef,n,Inanim,the mother,n,Anim
out at what's the name of the place out at the back of Poolburn um,the name of the place out at the back of Poolburn,OF,the place out at the back of Poolburn,Def,n,Inanim,the name,n,Inanim
out at what's the name of the place out at the back of Poolburn um,the back of Poolburn,OF,Poolburn,Def-pn,n,Inanim,the back,n,Inanim
actually the running of an hotel as my grandmother has told me .,the running of an hotel,OF,an hotel,Indef,n,Inanim,the running,n,Inanim
as the running of an hotel today .,the running of an hotel,OF,an hotel,Indef,n,Inanim,the running,n,Inanim
in earlier times but that was not in my grandmother's time . my grandmother's time was Lowe .,my grandmother's time .,S,my grandmother,Def,n,Anim,time,n,Inanim
in earlier times but that was not in my grandmother's time . my grandmother's time was Lowe .,my grandmother's time,S,my grandmother,Def,n,Anim,time,n,Inanim
Black's way right through to Baldwins . that's almost through to Roxburgh,Black's way,S,Black,Def-pn,n,Inanim,way,n,Inanim
and a hind quarter the next day of killing .,the next day of killing .,OF,killing,Indef,n,Inanim,the next day,n,Inanim
worked in their father's claim .,their father's claim .,S,their father,Def,n,Anim,claim,n,Inanim
the two things outstanding in this child's life church and school .,this child's life,S,this child,Def,n,Anim,life,n,Inanim
this lady was dux of the .,dux of the .  Otago High School,OF,the Otago High School,Def,n,Inanim,dux,n,Inanim
two things outstanding in a child's life . church and school .,a child's life .,S,a child,Indef,n,Anim,life,n,Inanim
ministered to the spiritual needs of his growing catholic parish near .,the spiritual needs of his growing catholic parish near .,OF,his growing catholic parish near,Def,n,Inanim,the spiritual needs,n,Inanim
in the Sunday school Mr George McNeill's name will always be held in the highest respect .,Mr George McNeill's name,S,Mr George McNeill,Def-pn,n,Anim,name,n,Inanim
from away out . on the top of the hill to take .,the top of the hill,OF,the hill,Def,n,Inanim,the top,n,Inanim
Scott's time .,Mrs.  Scott's time .,S,Mrs Scott,Def-pn,n,Anim,time,n,Inanim
very early ones and I can't remember the man's name  that,the man's name,S,the man,Def,n,Anim,name,n,Inanim
they were both strict disciplinarians and tried to instil into us the rudiments of the three Rs,the rudiments of the three Rs,OF,the three Rs,Def,n,Inanim,the rudiments,n,Inanim
so we were all amused when Jim's father presented him with a prize for rabbiting  --,Jim's father,S,Jim,Def-pn,n,Anim,father,n,Anim
brings us to the opening of the Alexandra Bridge .,the opening of the Alexandra Bridge .,OF,the Alexandra Bridge,Def,n,Inanim,the opening,n,Inanim
the first of June eighteen eighty two .,the first of June,OF,June,Def-pn,n,Inanim,the first,n,Inanim
and which we hope will stand as a lasting monument to the skills of pioneer masons .,the skills of pioneer masons .,OF,pioneer masons,Indef,n,Anim,the skills,n,Inanim
father of Mr James Ritchie was overseer of the work .,father of Mr James Ritchie,OF,Mr James Ritchie,Def-pn,n,Anim,father,n,Anim
father of Mr James Ritchie was overseer of the work .,overseer of the work .,OF,the work,Def,n,Inanim,overseer,n,Anim
I'm sure all the school children of that day .,the school children of that day .,OF,that day,Def,n,Inanim,the school children,n,Anim
the ceremony of the opening of the .,the ceremony of the opening of the .  Alexandra Bridge .,OF,the opening of the Alexandra Bridge,Def,n,Inanim,the ceremony,n,Inanim
the ceremony of the opening of the .,the opening of the .  Alexandra Bridge .,OF,the Alexandra Bridge,Def,n,Inanim,the opening,n,Inanim
Alexandra Bridge . this important structure took place on the first of June eighteen eighty two,the first of June,OF,June,Def-pn,n,Inanim,the first,n,Inanim
and the threatening rain came down just after the naming of the bridge had been performed .,the naming of the bridge,OF,the bridge,Def,n,Inanim,the naming,n,Inanim
and every available corner was needed for the accommodation of the largest gathering that had ever been seen in Alexandra .,the accommodation of the largest gathering that had ever been seen in Alexandra .,OF,the largest gathering that had ever been seen in Alexandra,Def,n,Inanim,the accommodation,n,Inanim
the lady chosen to perform the ceremony to the centre of the bridge followed by the procession,the centre of the bridge,OF,the bridge,Def,n,Inanim,the centre,n,Inanim
and we spoke of the opening of the bridge and he said yes .,the opening of the bridge,OF,the bridge,Def,n,Inanim,the opening,n,Inanim
manager of Galloway Homestead the county council .,the ahh .  manager of Galloway Homestead,OF,Galloway Homestead,Def-pn,n,Inanim,the manager,n,Anim
Mr Barons he was the mayor of Cromwell at that time the borough council .,the mayor of Cromwell,OF,Cromwell,Def-pn,n,Inanim,the mayor,n,Anim
where dancing continued till the early hours of the morning,the early hours of the morning,OF,the morning,Def,n,Inanim,the early hours,n,Inanim
then followed the description of the decorations around the town featuring .,the description of the decorations around the town,OF,the decorations around the town,Def,n,Inanim,the description,n,Inanim
not very long since I think it was Vincent Pike's book you see .,Vincent Pike's book,S,Vincent Pike,Def-pn,n,Anim,book,n,Inanim
water from the old woman as good as the Chinaman's water but where did the Chinaman's where did the water come from  that,the Chinaman's water,S,the Chinaman,Def,n,Anim,water,n,Inanim
first of June  was,first of June,OF,June,Def-pn,n,Inanim,first,n,Inanim
in the very early days he used to cart our goods from Rivers' and Fier's shop to the Chinese who worked on the Old Man and other places .,Rivers' and Fier's shop,S,Rivers' and Fier,Def-pn,n,Anim,shop,n,Inanim
when they had a New Year's celebration,a New Year's celebration,S,New Year,Def-pn,n,Inanim,celebration,n,Inanim
and it was passed round everybody in the hotel to feel the weight . of this wonderful goose .,the weight . of this wonderful goose .,OF,this wonderful goose,Def,n,Inanim,the weight,n,Inanim
well . irrigation was first the government interested itself in the effects of irrigation .,the effects of irrigation .,OF,irrigation,Indef,n,Inanim,the effects,n,Inanim
in fact they used to call Galloway Coates's baby .,Coates's baby .,S,Coates,Def-pn,n,Anim,baby,n,Inanim
has been the makings of Central Otago there's no doubt about that,the makings of Central Otago,OF,Central Otago,Def-pn,n,Inanim,the makings,n,Inanim
with the help of some Maori .,the help of some Maori .,OF,some Maori,Indef,n,Anim,the help,n,Inanim
and on the edge of the banks of this stream there was clay .,the edge of the banks of this stream,OF,the banks of this stream,Def,n,Inanim,the edge,n,Inanim
and on the edge of the banks of this stream there was clay .,the banks of this stream,OF,this stream,Def,n,Inanim,the banks,n,Inanim
well then . there was a veranda of course the front of that house .,the front of that house .,OF,that house,Def,n,Inanim,the front,n,Inanim
put you know like what the . bridge timber the decking of a bridge timber would be .,the decking of a bridge timber,OF,a bridge timber,Indef,n,Inanim,the decking,n,Inanim
well he bou~ b~ built a big house of the top of a hill .,the top of a hill .,OF,a hill,Indef,n,Inanim,the top,n,Inanim
well our orchard was in the front of the house  and,the front of the house,OF,the house,Def,n,Inanim,the front,n,Inanim
and at the bottom of the orchard was the four roads branched off .,the bottom of the orchard,OF,the orchard,Def,n,Inanim,the bottom,n,Inanim
she always worked for the benefit of the district .,the benefit of the district .,OF,the district,Def,n,Inanim,the benefit,n,Inanim
and my father did the same . right up to the time of his death .,the time of his death .,OF,his death,Def,n,Inanim,the time,n,Inanim
. and ahh when he got down there were just two feet of ahh the top of the bell tent showing above the water .,the top of the bell tent,OF,the bell tent,Def,n,Inanim,the top,n,Inanim
and put her hand ahh foot into the man's hand,the man's hand,S,the man,Def,n,Anim,hand,n,Inanim
the horse shied and bolted and . right on the side of a big cutting .,the side of a big cutting .,OF,a big cutting,Indef,n,Inanim,the side,n,Inanim
advent of the binder put everyone out of work .,the .   advent of the binder,OF,the binder,Def,n,Inanim,the advent,n,Inanim
now they formed a committee oh I'll give the names of the committee men .,the names of the committee men .,OF,the committee men,Def,n,Anim,the names,n,Inanim
in eight on the sixth of December eighteen sixty six .,the sixth of December,OF,December,Def-pn,n,Inanim,the sixth,n,Inanim
owing to the prevelance of the disease of pleuro .,the prevelance of the disease of pleuro .  pneumonia .,OF,the disease of pleuro pneumonia,Def,n,Inanim,the prevalence,n,Inanim
the sixth of December eighteen sixty six,the sixth of December,OF,December,Def-pn,n,Inanim,the sixth,n,Inanim
oh the property of Mr J Smith esquire and the sheep .,the property of Mr J Smith esquire,OF,Mr J Smith esquire,Def-pn,n,Anim,the property,n,Inanim
the whole history of the mill couldn't they .,the whole history of the mill,OF,the mill,Def,n,Inanim,the whole history,n,Inanim
twenty second or twenty third of August eighteen hundred and sixty four .,the .  twenty second or twenty third of August,OF,August,Def-pn,n,Inanim,the twenty second or twenty third,n,Inanim
the back end of the trotting course now and they helped each other .,the back end of the trotting course,OF,the trotting course,Def,n,Inanim,the back end,n,Inanim
of cattle and horses and sheep . and ah .,the principle breeder .  of cattle and horses and sheep .,OF,cattle and horses and sheep,Indef,n,Anim,the principal breeder,n,Anim
end of the government farm where the .,the .  end of the government farm,OF,the government farm,Def,n,Inanim,the end,n,Inanim
I just forget the . first schoolmaster's name -,the . first schoolmaster's name -,S,the first schoolmaster,Def,n,Anim,name,n,Inanim
I went to school down there he took me down to be company for him and we were living in the station master's house .,the station master's house .,S,the station master,Def,n,Anim,house,n,Inanim
three mile out on the Gordonton road the junction of Rototuna and Crosby road .,the junction of Rototuna and Crosby road .,OF,Rototuna and Crosby road,Def-pn,n,Inanim,the junction,n,Inanim
Frank Peacock's . grandmother .,Frank Peacock's . grandmother .,S,Frank Peacock,Def-pn,n,Anim,grandmother,n,Anim
at the back of our place for . Henry Reynolds .,the back of our place,OF,our place,Def,n,Inanim,the back,n,Inanim
and my brother Frank . the third boy of the family .,the third boy of the family .,OF,the family,Def,n,Inanim,the third boy,n,Anim
the back of Huntly . it was a big place .,the back of Huntly .,OF,Huntly,Def-pn,n,Inanim,the back,n,Inanim
there was Mark Hausen who was manager of the Thames Valley Land Company lived at Putaruru .,manager of the Thames Valley Land Company,OF,the Thames Valley Land Company,Def,n,Inanim,manager,n,Anim
the . over the top of the Kaimai track up Putaruru once to M~ to Mark Hausen to get the cheque .,the top of the Kaimai track,OF,the Kaimai track,Def,n,Inanim,the top,n,Inanim
at the foot of the Kaimai track .,the foot of the Kaimai track .,OF,the Kaimai track,Def,n,Inanim,the foot,n,Inanim
mayor of Hamilton for some time .,mayor of Hamilton,OF,Hamilton,Def-pn,n,Inanim,mayor,n,Anim
this the Te Awamutu side of the Te Kumi railway station .,the Te Awamutu side of the Te Kumi railway station .,OF,the Te Kumi railway station,Def,n,Inanim,the Te Awamutu side,n,Inanim
of the start of the top dressing in the Waikato and it happened this way .,the start of the top dressing in the Waikato,OF,the top dressing in the Waikato,Def,n,Inanim,the start,n,Inanim
how they found out . the advantage of top dressing,the advantage of top dressing,OF,top dressing,Indef,n,Inanim,the advantage,n,Inanim
just alongside the traffic bridge in Hamilton known as Mrs McGarrigle's corner .  I,Mrs McGarrigle's corner .,S,Mrs McGarrigle,Def-pn,n,Anim,corner,n,Inanim
young Nairn says that his father's certificate got burnt but they managed to save mine I produced mine .,his father's certificate,S,his father,Def,n,Anim,certificate,n,Inanim
they bought ahh an acre on the west side of the river and of course .,the west side of the river,OF,the river,Def,n,Inanim,the west side,n,Inanim
he went across the river on the punt over to see Le Cain's acre .,Le Cain's acre .,S,Le Cain,Def-pn,n,Anim,acre,n,Inanim
. for the prevention of noxious weeds,the prevention of noxious weeds,OF,noxious weeds,Indef,n,Inanim,the prevention,n,Inanim
. and er the prevention of erosion,the prevention of erosion,OF,erosion,Indef,n,Inanim,the prevention,n,Inanim
. in the prevention of erosion,the prevention of erosion,OF,erosion,Indef,n,Inanim,the prevention,n,Inanim
. and the growth of noxious weeds,the growth of noxious weeds,OF,noxious weeds,Indef,n,Inanim,the growth,n,Inanim
. in St Mary's churchyard,St Mary's churchyard,S,St Mary,Def-pn,n,Anim,churchyard,n,Inanim
 - in the time of Queen Elizabeth we can imagine that this tree was in its prime,the time of Queen Elizabeth,OF,Queen Elizabeth,Def-pn,n,Anim,the time,n,Inanim
. is situated . at the corner of Leech and Cameron street,the corner of Leech and Cameron street,OF,Leech and Cameron street,Def-pn,n,Inanim,the corner,n,Inanim
. and planted them in the corners of his section,the corners of his section,OF,his section,Def,n,Inanim,the corners,n,Inanim
. there's a little . stone at the foot of the tree,the foot of the tree,OF,the tree,Def,n,Inanim,the foot,n,Inanim
 - in St Mary's churchyard for instance there are . wonderful English trees as well as natives,St Mary's churchyard,S,St Mary,Def-pn,n,Anim,churchyard,n,Inanim
